crev_maps,temp_maps,temp_model,viscosity,strain_experiments,correlation,error
all,Annual,RACMO,0,Exp0,Gaussian,0.047756
all,Annual,RACMO,0,Exp1,Gaussian,0.029439
all,Annual,RACMO,0,Exp2,Gaussian,0.059157
all,Annual,RACMO,0,Exp3,Gaussian,0.045707
all,Annual,RACMO,0,Exp4,Gaussian,0.058720
all,Annual,RACMO,0,Exp5,Gaussian,0.077357
all,Annual,RACMO,0,Exp6,Gaussian,0.053877
all,Annual,RACMO,0,Exp7,Gaussian,0.047977
all,Annual,RACMO,0,Exp8,Gaussian,0.052718
all,Annual,RACMO,0,Exp9,Gaussian,0.044353
all,Annual,RACMO,0,Exp0,Exponential,0.059532
all,Annual,RACMO,0,Exp1,Exponential,0.054067
all,Annual,RACMO,0,Exp2,Exponential,0.061811
all,Annual,RACMO,0,Exp3,Exponential,0.034746
all,Annual,RACMO,0,Exp4,Exponential,0.049375
all,Annual,RACMO,0,Exp5,Exponential,0.042607
all,Annual,RACMO,0,Exp6,Exponential,0.044707
all,Annual,RACMO,0,Exp7,Exponential,0.040237
all,Annual,RACMO,0,Exp8,Exponential,0.049135
all,Annual,RACMO,0,Exp9,Exponential,0.057560
all,Annual,RACMO,1,Exp0,Gaussian,0.064482
all,Annual,RACMO,1,Exp1,Gaussian,0.047927
all,Annual,RACMO,1,Exp2,Gaussian,0.045126
all,Annual,RACMO,1,Exp3,Gaussian,0.041111
all,Annual,RACMO,1,Exp4,Gaussian,0.050159
all,Annual,RACMO,1,Exp5,Gaussian,0.048230
all,Annual,RACMO,1,Exp6,Gaussian,0.068711
all,Annual,RACMO,1,Exp7,Gaussian,0.061835
all,Annual,RACMO,1,Exp8,Gaussian,0.054934
all,Annual,RACMO,1,Exp9,Gaussian,0.037212
all,Annual,RACMO,1,Exp0,Exponential,0.073801
all,Annual,RACMO,1,Exp1,Exponential,0.048057
all,Annual,RACMO,1,Exp2,Exponential,0.061090
all,Annual,RACMO,1,Exp3,Exponential,0.034916
all,Annual,RACMO,1,Exp4,Exponential,0.041007
all,Annual,RACMO,1,Exp5,Exponential,0.051853
all,Annual,RACMO,1,Exp6,Exponential,0.047054
all,Annual,RACMO,1,Exp7,Exponential,0.058201
all,Annual,RACMO,1,Exp8,Exponential,0.043007
all,Annual,RACMO,1,Exp9,Exponential,0.054353
all,Annual,MAR,0,Exp0,Gaussian,0.046732
all,Annual,MAR,0,Exp1,Gaussian,0.040849
all,Annual,MAR,0,Exp2,Gaussian,0.065865
all,Annual,MAR,0,Exp3,Gaussian,0.048287
all,Annual,MAR,0,Exp4,Gaussian,0.045924
all,Annual,MAR,0,Exp5,Gaussian,0.067359
all,Annual,MAR,0,Exp6,Gaussian,0.042620
all,Annual,MAR,0,Exp7,Gaussian,0.057428
all,Annual,MAR,0,Exp8,Gaussian,0.046973
all,Annual,MAR,0,Exp9,Gaussian,0.046753
all,Annual,MAR,0,Exp0,Exponential,0.069435
all,Annual,MAR,0,Exp1,Exponential,0.055330
all,Annual,MAR,0,Exp2,Exponential,0.053676
all,Annual,MAR,0,Exp3,Exponential,0.031529
all,Annual,MAR,0,Exp4,Exponential,0.039080
all,Annual,MAR,0,Exp5,Exponential,0.061588
all,Annual,MAR,0,Exp6,Exponential,0.060023
all,Annual,MAR,0,Exp7,Exponential,0.048074
all,Annual,MAR,0,Exp8,Exponential,0.056403
all,Annual,MAR,0,Exp9,Exponential,0.060101
all,Annual,MAR,1,Exp0,Gaussian,0.062017
all,Annual,MAR,1,Exp1,Gaussian,0.044063
all,Annual,MAR,1,Exp2,Gaussian,0.051644
all,Annual,MAR,1,Exp3,Gaussian,0.049060
all,Annual,MAR,1,Exp4,Gaussian,0.054642
all,Annual,MAR,1,Exp5,Gaussian,0.069906
all,Annual,MAR,1,Exp6,Gaussian,0.053500
all,Annual,MAR,1,Exp7,Gaussian,0.067492
all,Annual,MAR,1,Exp8,Gaussian,0.049394
all,Annual,MAR,1,Exp9,Gaussian,0.032070
all,Annual,MAR,1,Exp0,Exponential,0.073447
all,Annual,MAR,1,Exp1,Exponential,0.057332
all,Annual,MAR,1,Exp2,Exponential,0.063327
all,Annual,MAR,1,Exp3,Exponential,0.064048
all,Annual,MAR,1,Exp4,Exponential,0.046347
all,Annual,MAR,1,Exp5,Exponential,0.047525
all,Annual,MAR,1,Exp6,Exponential,0.038680
all,Annual,MAR,1,Exp7,Exponential,0.060063
all,Annual,MAR,1,Exp8,Exponential,0.072846
all,Annual,MAR,1,Exp9,Exponential,0.075610
all,Annual,CARRA,0,Exp0,Gaussian,0.043155
all,Annual,CARRA,0,Exp1,Gaussian,0.050758
all,Annual,CARRA,0,Exp2,Gaussian,0.046245
all,Annual,CARRA,0,Exp3,Gaussian,0.034297
all,Annual,CARRA,0,Exp4,Gaussian,0.047553
all,Annual,CARRA,0,Exp5,Gaussian,0.066839
all,Annual,CARRA,0,Exp6,Gaussian,0.061453
all,Annual,CARRA,0,Exp7,Gaussian,0.068574
all,Annual,CARRA,0,Exp8,Gaussian,0.066310
all,Annual,CARRA,0,Exp9,Gaussian,0.042265
all,Annual,CARRA,0,Exp0,Exponential,0.061466
all,Annual,CARRA,0,Exp1,Exponential,0.040627
all,Annual,CARRA,0,Exp2,Exponential,0.049825
all,Annual,CARRA,0,Exp3,Exponential,0.044473
all,Annual,CARRA,0,Exp4,Exponential,0.073950
all,Annual,CARRA,0,Exp5,Exponential,0.070193
all,Annual,CARRA,0,Exp6,Exponential,0.059971
all,Annual,CARRA,0,Exp7,Exponential,0.041388
all,Annual,CARRA,0,Exp8,Exponential,0.035667
all,Annual,CARRA,0,Exp9,Exponential,0.055529
all,Annual,CARRA,1,Exp0,Gaussian,0.055974
all,Annual,CARRA,1,Exp1,Gaussian,0.055360
all,Annual,CARRA,1,Exp2,Gaussian,0.074321
all,Annual,CARRA,1,Exp3,Gaussian,0.047058
all,Annual,CARRA,1,Exp4,Gaussian,0.055512
all,Annual,CARRA,1,Exp5,Gaussian,0.065043
all,Annual,CARRA,1,Exp6,Gaussian,0.059775
all,Annual,CARRA,1,Exp7,Gaussian,0.061050
all,Annual,CARRA,1,Exp8,Gaussian,0.080073
all,Annual,CARRA,1,Exp9,Gaussian,0.077134
all,Annual,CARRA,1,Exp0,Exponential,0.077065
all,Annual,CARRA,1,Exp1,Exponential,0.052701
all,Annual,CARRA,1,Exp2,Exponential,0.053207
all,Annual,CARRA,1,Exp3,Exponential,0.061837
all,Annual,CARRA,1,Exp4,Exponential,0.059020
all,Annual,CARRA,1,Exp5,Exponential,0.062676
all,Annual,CARRA,1,Exp6,Exponential,0.052625
all,Annual,CARRA,1,Exp7,Exponential,0.037913
all,Annual,CARRA,1,Exp8,Exponential,0.050470
all,Annual,CARRA,1,Exp9,Exponential,0.054876
all,DJF,RACMO,0,Exp0,Gaussian,0.036785
all,DJF,RACMO,0,Exp1,Gaussian,0.041640
all,DJF,RACMO,0,Exp2,Gaussian,0.047053
all,DJF,RACMO,0,Exp3,Gaussian,0.032315
all,DJF,RACMO,0,Exp4,Gaussian,0.038471
all,DJF,RACMO,0,Exp5,Gaussian,0.053916
all,DJF,RACMO,0,Exp6,Gaussian,0.042065
all,DJF,RACMO,0,Exp7,Gaussian,0.045678
all,DJF,RACMO,0,Exp8,Gaussian,0.047096
all,DJF,RACMO,0,Exp9,Gaussian,0.040304
all,DJF,RACMO,0,Exp0,Exponential,0.051970
all,DJF,RACMO,0,Exp1,Exponential,0.028044
all,DJF,RACMO,0,Exp2,Exponential,0.042948
all,DJF,RACMO,0,Exp3,Exponential,0.030234
all,DJF,RACMO,0,Exp4,Exponential,0.031814
all,DJF,RACMO,0,Exp5,Exponential,0.058504
all,DJF,RACMO,0,Exp6,Exponential,0.036333
all,DJF,RACMO,0,Exp7,Exponential,0.033255
all,DJF,RACMO,0,Exp8,Exponential,0.063210
all,DJF,RACMO,0,Exp9,Exponential,0.029734
all,DJF,RACMO,1,Exp0,Gaussian,0.051801
all,DJF,RACMO,1,Exp1,Gaussian,0.047739
all,DJF,RACMO,1,Exp2,Gaussian,0.058443
all,DJF,RACMO,1,Exp3,Gaussian,0.045523
all,DJF,RACMO,1,Exp4,Gaussian,0.036829
all,DJF,RACMO,1,Exp5,Gaussian,0.052180
all,DJF,RACMO,1,Exp6,Gaussian,0.039597
all,DJF,RACMO,1,Exp7,Gaussian,0.062520
all,DJF,RACMO,1,Exp8,Gaussian,0.040419
all,DJF,RACMO,1,Exp9,Gaussian,0.040957
all,DJF,RACMO,1,Exp0,Exponential,0.055655
all,DJF,RACMO,1,Exp1,Exponential,0.041295
all,DJF,RACMO,1,Exp2,Exponential,0.055941
all,DJF,RACMO,1,Exp3,Exponential,0.033537
all,DJF,RACMO,1,Exp4,Exponential,0.032464
all,DJF,RACMO,1,Exp5,Exponential,0.049654
all,DJF,RACMO,1,Exp6,Exponential,0.034301
all,DJF,RACMO,1,Exp7,Exponential,0.036380
all,DJF,RACMO,1,Exp8,Exponential,0.047174
all,DJF,RACMO,1,Exp9,Exponential,0.046715
all,DJF,MAR,0,Exp0,Gaussian,0.042396
all,DJF,MAR,0,Exp1,Gaussian,0.042319
all,DJF,MAR,0,Exp2,Gaussian,0.060645
all,DJF,MAR,0,Exp3,Gaussian,0.046642
all,DJF,MAR,0,Exp4,Gaussian,0.051372
all,DJF,MAR,0,Exp5,Gaussian,0.060974
all,DJF,MAR,0,Exp6,Gaussian,0.037350
all,DJF,MAR,0,Exp7,Gaussian,0.068253
all,DJF,MAR,0,Exp8,Gaussian,0.049962
all,DJF,MAR,0,Exp9,Gaussian,0.053295
all,DJF,MAR,0,Exp0,Exponential,0.059994
all,DJF,MAR,0,Exp1,Exponential,0.036433
all,DJF,MAR,0,Exp2,Exponential,0.054822
all,DJF,MAR,0,Exp3,Exponential,0.028915
all,DJF,MAR,0,Exp4,Exponential,0.046341
all,DJF,MAR,0,Exp5,Exponential,0.064275
all,DJF,MAR,0,Exp6,Exponential,0.048274
all,DJF,MAR,0,Exp7,Exponential,0.037722
all,DJF,MAR,0,Exp8,Exponential,0.052918
all,DJF,MAR,0,Exp9,Exponential,0.053540
all,DJF,MAR,1,Exp0,Gaussian,0.056197
all,DJF,MAR,1,Exp1,Gaussian,0.072748
all,DJF,MAR,1,Exp2,Gaussian,0.061295
all,DJF,MAR,1,Exp3,Gaussian,0.054726
all,DJF,MAR,1,Exp4,Gaussian,0.045882
all,DJF,MAR,1,Exp5,Gaussian,0.059700
all,DJF,MAR,1,Exp6,Gaussian,0.070753
all,DJF,MAR,1,Exp7,Gaussian,0.069705
all,DJF,MAR,1,Exp8,Gaussian,0.066038
all,DJF,MAR,1,Exp9,Gaussian,0.059288
all,DJF,MAR,1,Exp0,Exponential,0.064571
all,DJF,MAR,1,Exp1,Exponential,0.044522
all,DJF,MAR,1,Exp2,Exponential,0.071371
all,DJF,MAR,1,Exp3,Exponential,0.051043
all,DJF,MAR,1,Exp4,Exponential,0.045536
all,DJF,MAR,1,Exp5,Exponential,0.071731
all,DJF,MAR,1,Exp6,Exponential,0.058795
all,DJF,MAR,1,Exp7,Exponential,0.052381
all,DJF,MAR,1,Exp8,Exponential,0.051170
all,DJF,MAR,1,Exp9,Exponential,0.059015
all,DJF,CARRA,0,Exp0,Gaussian,0.050733
all,DJF,CARRA,0,Exp1,Gaussian,0.045359
all,DJF,CARRA,0,Exp2,Gaussian,0.050371
all,DJF,CARRA,0,Exp3,Gaussian,0.051186
all,DJF,CARRA,0,Exp4,Gaussian,0.047333
all,DJF,CARRA,0,Exp5,Gaussian,0.070897
all,DJF,CARRA,0,Exp6,Gaussian,0.056609
all,DJF,CARRA,0,Exp7,Gaussian,0.065115
all,DJF,CARRA,0,Exp8,Gaussian,0.066830
all,DJF,CARRA,0,Exp9,Gaussian,0.066774
all,DJF,CARRA,0,Exp0,Exponential,0.061077
all,DJF,CARRA,0,Exp1,Exponential,0.034912
all,DJF,CARRA,0,Exp2,Exponential,0.045218
all,DJF,CARRA,0,Exp3,Exponential,0.036216
all,DJF,CARRA,0,Exp4,Exponential,0.043611
all,DJF,CARRA,0,Exp5,Exponential,0.069536
all,DJF,CARRA,0,Exp6,Exponential,0.057747
all,DJF,CARRA,0,Exp7,Exponential,0.037750
all,DJF,CARRA,0,Exp8,Exponential,0.043537
all,DJF,CARRA,0,Exp9,Exponential,0.044198
all,DJF,CARRA,1,Exp0,Gaussian,0.065685
all,DJF,CARRA,1,Exp1,Gaussian,0.042674
all,DJF,CARRA,1,Exp2,Gaussian,0.082370
all,DJF,CARRA,1,Exp3,Gaussian,0.052615
all,DJF,CARRA,1,Exp4,Gaussian,0.050431
all,DJF,CARRA,1,Exp5,Gaussian,0.067021
all,DJF,CARRA,1,Exp6,Gaussian,0.072635
all,DJF,CARRA,1,Exp7,Gaussian,0.052434
all,DJF,CARRA,1,Exp8,Gaussian,0.066520
all,DJF,CARRA,1,Exp9,Gaussian,0.049819
all,DJF,CARRA,1,Exp0,Exponential,0.061906
all,DJF,CARRA,1,Exp1,Exponential,0.048872
all,DJF,CARRA,1,Exp2,Exponential,0.065651
all,DJF,CARRA,1,Exp3,Exponential,0.049535
all,DJF,CARRA,1,Exp4,Exponential,0.049715
all,DJF,CARRA,1,Exp5,Exponential,0.076299
all,DJF,CARRA,1,Exp6,Exponential,0.066916
all,DJF,CARRA,1,Exp7,Exponential,0.047257
all,DJF,CARRA,1,Exp8,Exponential,0.029449
all,DJF,CARRA,1,Exp9,Exponential,0.031541
all,JJA,RACMO,0,Exp0,Gaussian,0.043028
all,JJA,RACMO,0,Exp1,Gaussian,0.052569
all,JJA,RACMO,0,Exp2,Gaussian,0.066292
all,JJA,RACMO,0,Exp3,Gaussian,0.047144
all,JJA,RACMO,0,Exp4,Gaussian,0.041291
all,JJA,RACMO,0,Exp5,Gaussian,0.061978
all,JJA,RACMO,0,Exp6,Gaussian,0.064152
all,JJA,RACMO,0,Exp7,Gaussian,0.061138
all,JJA,RACMO,0,Exp8,Gaussian,0.049293
all,JJA,RACMO,0,Exp9,Gaussian,0.047804
all,JJA,RACMO,0,Exp0,Exponential,0.063449
all,JJA,RACMO,0,Exp1,Exponential,0.033765
all,JJA,RACMO,0,Exp2,Exponential,0.040824
all,JJA,RACMO,0,Exp3,Exponential,0.039400
all,JJA,RACMO,0,Exp4,Exponential,0.038803
all,JJA,RACMO,0,Exp5,Exponential,0.056780
all,JJA,RACMO,0,Exp6,Exponential,0.049444
all,JJA,RACMO,0,Exp7,Exponential,0.026384
all,JJA,RACMO,0,Exp8,Exponential,0.039600
all,JJA,RACMO,0,Exp9,Exponential,0.055866
all,JJA,RACMO,1,Exp0,Gaussian,0.040563
all,JJA,RACMO,1,Exp1,Gaussian,0.050073
all,JJA,RACMO,1,Exp2,Gaussian,0.035177
all,JJA,RACMO,1,Exp3,Gaussian,0.036809
all,JJA,RACMO,1,Exp4,Gaussian,0.032210
all,JJA,RACMO,1,Exp5,Gaussian,0.052004
all,JJA,RACMO,1,Exp6,Gaussian,0.059751
all,JJA,RACMO,1,Exp7,Gaussian,0.057736
all,JJA,RACMO,1,Exp8,Gaussian,0.043971
all,JJA,RACMO,1,Exp9,Gaussian,0.045759
all,JJA,RACMO,1,Exp0,Exponential,0.043669
all,JJA,RACMO,1,Exp1,Exponential,0.033439
all,JJA,RACMO,1,Exp2,Exponential,0.028188
all,JJA,RACMO,1,Exp3,Exponential,0.026644
all,JJA,RACMO,1,Exp4,Exponential,0.040583
all,JJA,RACMO,1,Exp5,Exponential,0.054688
all,JJA,RACMO,1,Exp6,Exponential,0.052915
all,JJA,RACMO,1,Exp7,Exponential,0.041954
all,JJA,RACMO,1,Exp8,Exponential,0.038688
all,JJA,RACMO,1,Exp9,Exponential,0.048484
all,JJA,MAR,0,Exp0,Gaussian,0.048995
all,JJA,MAR,0,Exp1,Gaussian,0.053033
all,JJA,MAR,0,Exp2,Gaussian,0.059969
all,JJA,MAR,0,Exp3,Gaussian,0.053441
all,JJA,MAR,0,Exp4,Gaussian,0.053814
all,JJA,MAR,0,Exp5,Gaussian,0.060238
all,JJA,MAR,0,Exp6,Gaussian,0.060306
all,JJA,MAR,0,Exp7,Gaussian,0.039843
all,JJA,MAR,0,Exp8,Gaussian,0.066477
all,JJA,MAR,0,Exp9,Gaussian,0.043618
all,JJA,MAR,0,Exp0,Exponential,0.076945
all,JJA,MAR,0,Exp1,Exponential,0.044101
all,JJA,MAR,0,Exp2,Exponential,0.057501
all,JJA,MAR,0,Exp3,Exponential,0.049003
all,JJA,MAR,0,Exp4,Exponential,0.050897
all,JJA,MAR,0,Exp5,Exponential,0.048623
all,JJA,MAR,0,Exp6,Exponential,0.051696
all,JJA,MAR,0,Exp7,Exponential,0.055991
all,JJA,MAR,0,Exp8,Exponential,0.042715
all,JJA,MAR,0,Exp9,Exponential,0.044538
all,JJA,MAR,1,Exp0,Gaussian,0.054178
all,JJA,MAR,1,Exp1,Gaussian,0.043744
all,JJA,MAR,1,Exp2,Gaussian,0.062294
all,JJA,MAR,1,Exp3,Gaussian,0.064341
all,JJA,MAR,1,Exp4,Gaussian,0.055546
all,JJA,MAR,1,Exp5,Gaussian,0.061508
all,JJA,MAR,1,Exp6,Gaussian,0.055604
all,JJA,MAR,1,Exp7,Gaussian,0.047622
all,JJA,MAR,1,Exp8,Gaussian,0.058044
all,JJA,MAR,1,Exp9,Gaussian,0.060077
all,JJA,MAR,1,Exp0,Exponential,0.070957
all,JJA,MAR,1,Exp1,Exponential,0.046759
all,JJA,MAR,1,Exp2,Exponential,0.061437
all,JJA,MAR,1,Exp3,Exponential,0.056063
all,JJA,MAR,1,Exp4,Exponential,0.056159
all,JJA,MAR,1,Exp5,Exponential,0.042484
all,JJA,MAR,1,Exp6,Exponential,0.045912
all,JJA,MAR,1,Exp7,Exponential,0.036750
all,JJA,MAR,1,Exp8,Exponential,0.062985
all,JJA,MAR,1,Exp9,Exponential,0.053428
all,JJA,CARRA,0,Exp0,Gaussian,0.056304
all,JJA,CARRA,0,Exp1,Gaussian,0.056293
all,JJA,CARRA,0,Exp2,Gaussian,0.060023
all,JJA,CARRA,0,Exp3,Gaussian,0.070195
all,JJA,CARRA,0,Exp4,Gaussian,0.064331
all,JJA,CARRA,0,Exp5,Gaussian,0.063491
all,JJA,CARRA,0,Exp6,Gaussian,0.039426
all,JJA,CARRA,0,Exp7,Gaussian,0.054073
all,JJA,CARRA,0,Exp8,Gaussian,0.060679
all,JJA,CARRA,0,Exp9,Gaussian,0.060911
all,JJA,CARRA,0,Exp0,Exponential,0.049816
all,JJA,CARRA,0,Exp1,Exponential,0.042673
all,JJA,CARRA,0,Exp2,Exponential,0.067536
all,JJA,CARRA,0,Exp3,Exponential,0.046610
all,JJA,CARRA,0,Exp4,Exponential,0.061518
all,JJA,CARRA,0,Exp5,Exponential,0.046998
all,JJA,CARRA,0,Exp6,Exponential,0.046811
all,JJA,CARRA,0,Exp7,Exponential,0.058906
all,JJA,CARRA,0,Exp8,Exponential,0.054103
all,JJA,CARRA,0,Exp9,Exponential,0.071010
all,JJA,CARRA,1,Exp0,Gaussian,0.060031
all,JJA,CARRA,1,Exp1,Gaussian,0.056557
all,JJA,CARRA,1,Exp2,Gaussian,0.051828
all,JJA,CARRA,1,Exp3,Gaussian,0.062784
all,JJA,CARRA,1,Exp4,Gaussian,0.045490
all,JJA,CARRA,1,Exp5,Gaussian,0.054743
all,JJA,CARRA,1,Exp6,Gaussian,0.039517
all,JJA,CARRA,1,Exp7,Gaussian,0.052192
all,JJA,CARRA,1,Exp8,Gaussian,0.062897
all,JJA,CARRA,1,Exp9,Gaussian,0.057958
all,JJA,CARRA,1,Exp0,Exponential,0.075556
all,JJA,CARRA,1,Exp1,Exponential,0.039835
all,JJA,CARRA,1,Exp2,Exponential,0.060290
all,JJA,CARRA,1,Exp3,Exponential,0.055243
all,JJA,CARRA,1,Exp4,Exponential,0.056816
all,JJA,CARRA,1,Exp5,Exponential,0.058155
all,JJA,CARRA,1,Exp6,Exponential,0.040796
all,JJA,CARRA,1,Exp7,Exponential,0.057583
all,JJA,CARRA,1,Exp8,Exponential,0.059206
all,JJA,CARRA,1,Exp9,Exponential,0.057956
Riley,all,RACMO,0,Exp0,Gaussian,0.061736
Riley,all,RACMO,0,Exp1,Gaussian,0.061844
Riley,all,RACMO,0,Exp2,Gaussian,0.061034
Riley,all,RACMO,0,Exp3,Gaussian,0.059367
Riley,all,RACMO,0,Exp4,Gaussian,0.059527
Riley,all,RACMO,0,Exp5,Gaussian,0.059974
Riley,all,RACMO,0,Exp6,Gaussian,0.062160
Riley,all,RACMO,0,Exp7,Gaussian,0.060178
Riley,all,RACMO,0,Exp8,Gaussian,0.061374
Riley,all,RACMO,0,Exp9,Gaussian,0.060788
Riley,all,RACMO,0,Exp0,Exponential,0.060685
Riley,all,RACMO,0,Exp1,Exponential,0.061499
Riley,all,RACMO,0,Exp2,Exponential,0.061615
Riley,all,RACMO,0,Exp3,Exponential,0.059337
Riley,all,RACMO,0,Exp4,Exponential,0.061850
Riley,all,RACMO,0,Exp5,Exponential,0.063602
Riley,all,RACMO,0,Exp6,Exponential,0.059924
Riley,all,RACMO,0,Exp7,Exponential,0.060131
Riley,all,RACMO,0,Exp8,Exponential,0.063287
Riley,all,RACMO,0,Exp9,Exponential,0.060302
Riley,all,RACMO,1,Exp0,Gaussian,0.094231
Riley,all,RACMO,1,Exp1,Gaussian,0.091829
Riley,all,RACMO,1,Exp2,Gaussian,0.093903
Riley,all,RACMO,1,Exp3,Gaussian,0.092157
Riley,all,RACMO,1,Exp4,Gaussian,0.091324
Riley,all,RACMO,1,Exp5,Gaussian,0.091462
Riley,all,RACMO,1,Exp6,Gaussian,0.092066
Riley,all,RACMO,1,Exp7,Gaussian,0.092204
Riley,all,RACMO,1,Exp8,Gaussian,0.091980
Riley,all,RACMO,1,Exp9,Gaussian,0.093375
Riley,all,RACMO,1,Exp0,Exponential,0.091246
Riley,all,RACMO,1,Exp1,Exponential,0.090219
Riley,all,RACMO,1,Exp2,Exponential,0.093860
Riley,all,RACMO,1,Exp3,Exponential,0.091560
Riley,all,RACMO,1,Exp4,Exponential,0.091985
Riley,all,RACMO,1,Exp5,Exponential,0.093342
Riley,all,RACMO,1,Exp6,Exponential,0.092110
Riley,all,RACMO,1,Exp7,Exponential,0.091832
Riley,all,RACMO,1,Exp8,Exponential,0.091780
Riley,all,RACMO,1,Exp9,Exponential,0.091823
Riley,all,MAR,0,Exp0,Gaussian,0.086641
Riley,all,MAR,0,Exp1,Gaussian,0.083906
Riley,all,MAR,0,Exp2,Gaussian,0.085957
Riley,all,MAR,0,Exp3,Gaussian,0.083323
Riley,all,MAR,0,Exp4,Gaussian,0.083940
Riley,all,MAR,0,Exp5,Gaussian,0.084484
Riley,all,MAR,0,Exp6,Gaussian,0.084307
Riley,all,MAR,0,Exp7,Gaussian,0.084617
Riley,all,MAR,0,Exp8,Gaussian,0.086505
Riley,all,MAR,0,Exp9,Gaussian,0.084076
Riley,all,MAR,0,Exp0,Exponential,0.085114
Riley,all,MAR,0,Exp1,Exponential,0.084285
